atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
1.48148e-04 2.97902e-05 1.83112e-05 9.74273e-05 3.34501e-05 2.49718e-06 6.53166e-06 2.18473e-05 -1.59073e-02
4.60648e-04 9.41765e-05 1.85509e-05 3.26375e-04 1.04011e-04 2.15431e-06 8.19226e-06 2.14380e-05 -9.85871e-01
0.00000e+00 0.00000e+00 2.37278e-05 2.80231e-05 0.00000e+00 2.23568e-06 5.25244e-06 2.56470e-05 8.47083e-01
4.62963e-06 7.97694e-07 3.18707e-05 4.91940e-06 1.04538e-06 3.16554e-06 1.04538e-06 2.34440e-05 -9.79049e-01
0.00000e+00 0.00000e+00 3.51750e-05 -2.46695e-06 0.00000e+00 3.11360e-06 -5.97765e-26 2.36828e-05 -9.34435e-03
0.00000e+00 0.00000e+00 3.47896e-05 -3.31910e-06 0.00000e+00 3.37269e-06 5.97765e-26 2.52058e-05 -3.36429e-01
2.45255e-04 5.07522e-05 3.27264e-05 1.62922e-04 5.53820e-05 2.61474e-06 1.73201e-05 1.93763e-05 2.89039e+00
0.00000e+00 0.00000e+00 3.13441e-05 7.19391e-06 0.00000e+00 2.85380e-06 0.00000e+00 2.59054e-05 4.20291e+00
5.78704e-05 1.14497e-05 3.14612e-05 3.84427e-05 1.30684e-05 3.07643e-06 6.28865e-06 2.34280e-05 1.49032e+00
1.85185e-05 3.17667e-06 3.09459e-05 8.63546e-06 4.18198e-06 2.67536e-06 4.18198e-06 2.25565e-05 9.12060e-01
0.00000e+00 0.00000e+00 2.98205e-05 -2.98963e-06 0.00000e+00 2.94880e-06 1.33743e-24 2.35350e-05 2.41206e+00
0.00000e+00 0.00000e+00 2.79142e-05 -3.23627e-06 0.00000e+00 3.22961e-06 -0.00000e+00 2.84631e-05 2.10754e+00
0.00000e+00 0.00000e+00 2.54594e-05 -3.31372e-06 0.00000e+00 3.30935e-06 0.00000e+00 3.41706e-05 3.47601e+00
0.00000e+00 0.00000e+00 2.28345e-05 -2.96545e-06 0.00000e+00 2.94576e-06 0.00000e+00 3.36718e-05 3.94485e+00
0.00000e+00 0.00000e+00 2.02289e-05 -3.46473e-06 0.00000e+00 3.46252e-06 0.00000e+00 3.24302e-05 2.66390e-01
2.31481e-05 3.74855e-06 1.77894e-05 1.07550e-05 5.22804e-06 3.39973e-06 5.22804e-06 3.17334e-05 3.10548e+00
2.08333e-05 3.32309e-06 1.56288e-05 9.84586e-06 4.70532e-06 2.93807e-06 4.70532e-06 2.82190e-05 2.42894e+00
0.00000e+00 0.00000e+00 1.37354e-05 -3.24898e-06 0.00000e+00 3.24422e-06 1.90503e-25 3.12804e-05 1.64331e+00
5.32407e-05 8.83154e-06 1.21571e-05 3.18888e-05 1.20251e-05 3.24499e-06 9.25013e-06 2.79811e-05 1.75892e+00
2.08333e-05 3.20650e-06 1.09792e-05 9.68071e-06 4.70557e-06 3.21178e-06 4.70557e-06 2.97403e-05 2.70841e+00
8.79630e-05 1.38973e-05 1.05113e-05 5.28834e-05 1.98683e-05 3.15696e-06 1.80125e-05 2.16971e-05 -1.33493e-01
0.00000e+00 0.00000e+00 1.03753e-05 -3.54008e-06 0.00000e+00 3.52826e-06 2.68893e-26 2.61769e-05 2.98554e-01
1.68981e-04 3.16547e-05 1.02527e-05 9.25998e-05 3.81926e-05 3.26841e-06 9.21560e-06 2.30722e-05 1.37198e+00
1.04167e-04 1.86655e-05 1.01475e-05 9.88537e-05 2.35580e-05 3.57905e-06 9.87510e-06 2.62776e-05 1.14326e+00
2.77778e-05 4.25149e-06 1.00565e-05 1.90191e-05 6.28602e-06 2.97304e-06 6.28602e-06 2.94036e-05 1.39150e+00
0.00000e+00 0.00000e+00 9.98924e-06 -2.57795e-06 0.00000e+00 3.12476e-06 0.00000e+00 3.31223e-05 1.92128e+00
0.00000e+00 0.00000e+00 9.94337e-06 -3.11443e-06 0.00000e+00 3.14496e-06 0.00000e+00 3.37384e-05 1.80143e+00
8.56481e-05 1.47840e-05 9.90669e-06 5.68794e-05 1.94173e-05 3.17615e-06 1.07927e-05 2.97117e-05 1.14428e+00
3.70370e-05 5.65542e-06 9.86999e-06 1.99716e-05 8.40170e-06 2.99593e-06 8.39187e-06 2.70064e-05 8.53792e-01
0.00000e+00 0.00000e+00 9.82953e-06 -3.33706e-06 0.00000e+00 3.28854e-06 0.00000e+00 3.26021e-05 1.23108e+00
1.43403e-05 2.18617e-06 9.78496e-06 5.28377e-06 3.25690e-06 3.61075e-06 3.25690e-06 2.96278e-05 1.86165e-01
3.85949e-05 5.88044e-06 9.73934e-06 2.07337e-05 8.77066e-06 3.19737e-06 8.77066e-06 2.00274e-05 -5.09666e-01
3.85949e-05 5.87655e-06 9.69222e-06 2.06929e-05 8.77577e-06 3.24126e-06 8.77577e-06 2.61634e-05 2.55248e-01
3.85949e-05 5.87236e-06 9.64021e-06 2.07271e-05 8.78086e-06 3.19949e-06 8.78086e-06 2.14965e-05 -8.81067e-01
3.85949e-05 5.86794e-06 9.58483e-06 2.08631e-05 8.78592e-06 3.06523e-06 8.78592e-06 1.98605e-05 2.19488e-01
3.85949e-05 5.86335e-06 9.52650e-06 2.09646e-05 8.79094e-06 2.94369e-06 8.79094e-06 1.91224e-05 4.01832e-01
4.41042e-05 6.69477e-06 9.46607e-06 2.43464e-05 1.00515e-05 3.00771e-06 1.00515e-05 1.95545e-05 -1.05324e+00
6.04938e-05 9.42054e-06 9.40444e-06 3.51380e-05 1.37946e-05 3.38045e-06 1.25421e-05 1.74241e-05 -2.41013e+00
2.93981e-04 5.34276e-05 9.34303e-06 1.56983e-04 6.70748e-05 2.83134e-06 2.18568e-05 2.16429e-05 4.80769e-01
0.00000e+00 0.00000e+00 9.28142e-06 4.55947e-05 0.00000e+00 2.90514e-06 0.00000e+00 3.44710e-05 3.06951e+00
0.00000e+00 0.00000e+00 9.22994e-06 5.58162e-06 0.00000e+00 3.47132e-06 1.21922e-23 2.85769e-05 -1.98416e+00
4.16667e-05 6.30221e-06 9.20215e-06 2.40455e-05 9.52243e-06 2.91565e-06 9.52243e-06 2.58299e-05 3.81862e-01
9.25926e-06 1.40013e-06 9.18991e-06 2.23621e-06 2.11725e-06 3.60319e-06 2.11725e-06 3.04990e-05 7.92852e-01
0.00000e+00 0.00000e+00 9.18141e-06 -3.14978e-06 0.00000e+00 3.13433e-06 0.00000e+00 3.44774e-05 1.92243e+00
5.32407e-05 8.27446e-06 9.16993e-06 3.06491e-05 1.21873e-05 3.29120e-06 1.10218e-05 2.56982e-05 -1.78196e+00
0.00000e+00 0.00000e+00 9.15328e-06 -3.04682e-06 0.00000e+00 3.04328e-06 7.48566e-25 2.49951e-05 -1.74887e+00
3.47222e-05 5.32299e-06 9.12733e-06 1.97049e-05 7.95670e-06 2.07507e-06 7.55190e-06 3.46376e-05 5.99515e+00
0.00000e+00 0.00000e+00 9.08926e-06 -3.48337e-06 0.00000e+00 3.47958e-06 -2.68893e-26 3.70335e-05 5.07361e-01
4.62963e-06 6.98187e-07 9.04148e-06 6.28763e-08 1.06201e-06 2.80356e-06 1.06201e-06 3.24399e-05 1.73194e+00
0.00000e+00 0.00000e+00 8.98453e-06 -3.27065e-06 0.00000e+00 3.26767e-06 0.00000e+00 2.66525e-05 -2.42961e+00
1.15741e-05 1.74195e-06 8.89653e-06 4.21841e-06 2.65777e-06 2.94687e-06 2.65777e-06 3.25936e-05 2.98374e+00
0.00000e+00 0.00000e+00 8.76067e-06 -2.77857e-06 0.00000e+00 2.75575e-06 0.00000e+00 3.66411e-05 4.71071e+00
0.00000e+00 0.00000e+00 8.60363e-06 -3.48101e-06 0.00000e+00 3.47779e-06 0.00000e+00 3.33489e-05 -1.34518e+00
0.00000e+00 0.00000e+00 8.43213e-06 -2.66964e-06 0.00000e+00 2.64002e-06 -7.62010e-25 3.91577e-05 4.23714e+00
6.94444e-06 1.03624e-06 8.24232e-06 1.32558e-06 1.59683e-06 2.96967e-06 1.59683e-06 3.77204e-05 1.68803e+00
0.00000e+00 0.00000e+00 8.03957e-06 -2.53331e-06 0.00000e+00 2.53015e-06 0.00000e+00 3.70798e-05 1.00167e+00
1.85185e-05 2.74934e-06 7.82761e-06 8.37124e-06 4.25967e-06 3.13662e-06 4.25967e-06 2.94268e-05 3.61759e-01
0.00000e+00 0.00000e+00 7.61411e-06 -2.85366e-06 0.00000e+00 2.80360e-06 1.58813e-23 3.25400e-05 2.04225e+00
1.15741e-05 1.70874e-06 7.39747e-06 4.60451e-06 2.66320e-06 2.58156e-06 2.66320e-06 3.29966e-05 2.98541e+00
6.94444e-05 1.15308e-05 7.18072e-06 4.56375e-05 1.59819e-05 3.15253e-06 9.09842e-06 2.53715e-05 -4.63028e-01
3.93519e-05 5.77511e-06 6.97123e-06 2.19295e-05 9.05791e-06 2.56729e-06 9.05078e-06 2.99682e-05 4.49967e+00
1.87500e-04 3.29651e-05 6.77099e-06 9.93712e-05 4.31655e-05 2.57779e-06 1.02281e-05 3.21532e-05 2.19079e+00
0.00000e+00 0.00000e+00 6.59138e-06 3.00945e-05 0.00000e+00 2.43125e-06 3.71366e-06 3.58685e-05 2.45884e+00
9.25926e-05 1.48263e-05 6.44906e-06 6.53718e-05 2.13234e-05 3.50735e-06 1.42118e-05 3.01954e-05 -1.35380e-01
0.00000e+00 0.00000e+00 6.35096e-06 -2.70380e-06 0.00000e+00 3.31285e-06 0.00000e+00 3.61123e-05 1.57655e+00
0.00000e+00 0.00000e+00 6.27644e-06 -2.62504e-06 0.00000e+00 2.65906e-06 0.00000e+00 4.00103e-05 2.74585e+00
0.00000e+00 0.00000e+00 6.20617e-06 -3.39766e-06 0.00000e+00 3.39450e-06 0.00000e+00 3.80704e-05 8.31751e-01
2.31481e-05 3.35234e-06 6.12601e-06 1.10473e-05 5.33440e-06 3.41028e-06 5.33440e-06 2.99301e-05 -1.43507e+00
0.00000e+00 0.00000e+00 6.02874e-06 -3.37807e-06 0.00000e+00 3.23860e-06 1.21264e-23 2.92352e-05 -6.76731e-01
0.00000e+00 0.00000e+00 5.91333e-06 -2.60828e-06 0.00000e+00 2.55995e-06 1.19553e-25 3.73600e-05 4.57149e+00
2.77778e-04 4.82973e-05 5.78106e-06 1.62541e-04 6.40454e-05 2.81025e-06 1.95774e-05 2.27025e-05 8.40144e-01
4.86111e-05 7.85306e-06 5.65168e-06 6.76112e-05 1.12098e-05 3.56730e-06 6.55875e-06 2.56786e-05 -2.19213e+00
4.07407e-04 7.22513e-05 5.56177e-06 1.94493e-04 9.39650e-05 2.62054e-06 1.97634e-05 2.57056e-05 3.00510e+00
6.71296e-05 1.02095e-05 5.51413e-06 1.39772e-04 1.54855e-05 3.61375e-06 1.23112e-05 2.05796e-05 -5.01934e+00
0.00000e+00 0.00000e+00 5.50280e-06 2.05897e-05 0.00000e+00 2.23513e-06 0.00000e+00 4.02809e-05 5.68439e+00
0.00000e+00 0.00000e+00 5.55412e-06 1.24657e-06 0.00000e+00 2.18883e-06 0.00000e+00 3.87582e-05 5.30129e+00
0.00000e+00 0.00000e+00 5.65367e-06 -2.40800e-06 0.00000e+00 2.74085e-06 -1.39590e-38 3.16561e-05 -3.55511e-02
2.31481e-06 3.33263e-07 5.76244e-06 -1.46469e-06 5.34340e-07 2.69285e-06 5.34340e-07 3.22499e-05 4.22253e+00
9.25926e-06 1.33502e-06 5.85466e-06 2.86292e-06 2.13772e-06 2.81035e-06 2.13772e-06 3.47148e-05 3.66173e+00
0.00000e+00 0.00000e+00 5.92231e-06 -4.21458e-06 0.00000e+00 4.21042e-06 0.00000e+00 2.82085e-05 -3.44215e+00
1.38889e-05 2.00569e-06 5.96712e-06 5.10908e-06 3.20764e-06 3.48684e-06 3.20764e-06 2.80474e-05 -3.92694e-02
0.00000e+00 0.00000e+00 5.98884e-06 -3.37492e-06 0.00000e+00 3.33587e-06 0.00000e+00 3.01359e-05 1.67811e+00
4.39815e-05 6.36858e-06 5.98854e-06 2.52897e-05 1.01609e-05 2.23242e-06 1.00707e-05 3.74232e-05 5.41293e+00
0.00000e+00 0.00000e+00 5.96730e-06 -2.94890e-06 0.00000e+00 2.85304e-06 8.06680e-26 3.84007e-05 4.03695e+00
2.31481e-06 3.33894e-07 5.92860e-06 -2.84684e-06 5.34823e-07 4.26079e-06 5.34823e-07 3.01624e-05 -3.28994e+00
0.00000e+00 0.00000e+00 5.87346e-06 -3.62244e-06 0.00000e+00 3.61735e-06 6.12597e-24 2.62134e-05 -1.67916e+00
0.00000e+00 0.00000e+00 5.77518e-06 -3.69608e-06 0.00000e+00 3.66451e-06 -0.00000e+00 2.94386e-05 -4.06926e-01
0.00000e+00 0.00000e+00 5.64849e-06 -3.16684e-06 0.00000e+00 3.09404e-06 -1.39590e-38 3.71062e-05 5.70309e+00
0.00000e+00 0.00000e+00 5.50255e-06 -2.80432e-06 0.00000e+00 2.75530e-06 0.00000e+00 3.39257e-05 2.38069e-01
2.08333e-04 3.57235e-05 5.34623e-06 1.53438e-04 4.81327e-05 2.60879e-06 1.58991e-05 2.93973e-05 3.49108e+00
0.00000e+00 0.00000e+00 5.19018e-06 -2.69694e-06 0.00000e+00 3.07192e-06 7.62010e-25 2.84073e-05 6.34080e-01
0.00000e+00 0.00000e+00 5.06628e-06 -3.42644e-06 0.00000e+00 3.41700e-06 -1.34447e-26 2.77696e-05 7.33131e-01
7.50000e-04 1.34855e-04 4.97413e-06 2.10483e-04 1.73274e-04 3.13033e-06 1.22519e-05 2.17470e-05 -1.41975e+00
6.45833e-04 1.18385e-04 4.90655e-06 6.51944e-04 1.49208e-04 2.45618e-06 8.81009e-06 3.00633e-05 3.12449e+00
1.36574e-04 2.37906e-05 5.05744e-06 2.88434e-04 3.15527e-05 2.60051e-06 7.34698e-06 2.66936e-05 -6.62663e-02
0.00000e+00 0.00000e+00 5.87313e-06 5.26301e-05 0.00000e+00 2.97814e-06 6.14986e-24 3.38866e-05 9.84421e-01
0.00000e+00 0.00000e+00 6.85771e-06 7.75721e-06 0.00000e+00 2.70915e-06 0.00000e+00 3.92668e-05 4.70412e+00
4.44444e-04 8.27696e-05 7.59496e-06 2.94150e-04 1.02678e-04 1.99086e-06 1.29174e-05 2.82039e-05 1.58620e+00
1.11111e-04 1.93041e-05 8.22725e-06 1.20712e-04 2.56694e-05 3.44222e-06 1.16256e-05 2.71600e-05 -5.07654e+00
0.00000e+00 0.00000e+00 8.87638e-06 5.70854e-06 0.00000e+00 2.94429e-06 0.00000e+00 3.18960e-05 1.00636e+00
0.00000e+00 0.00000e+00 9.44263e-06 -2.12741e-06 0.00000e+00 3.16565e-06 0.00000e+00 3.37808e-05 -2.74063e-01
0.00000e+00 0.00000e+00 9.88851e-06 -3.43008e-06 0.00000e+00 3.41316e-06 0.00000e+00 3.15901e-05 -1.23872e+00
4.62963e-06 7.40036e-07 1.29761e-05 -6.03937e-07 1.06954e-06 3.21092e-06 1.06954e-06 2.73976e-05 -9.00745e-02
0.00000e+00 0.00000e+00 1.69971e-05 -3.33056e-06 0.00000e+00 3.26159e-06 5.37786e-26 2.97561e-05 -8.15077e-01
0.00000e+00 0.00000e+00 1.63581e-05 -3.29445e-06 0.00000e+00 3.20684e-06 -1.76324e-38 2.94346e-05 -3.27339e-01
5.45063e-05 8.64166e-06 1.53548e-05 3.04760e-05 1.25918e-05 2.71649e-06 1.16022e-05 2.61377e-05 -6.18154e-01
4.87744e-05 7.87980e-06 1.41351e-05 2.85912e-05 1.12676e-05 1.81307e-06 1.14155e-05 3.14380e-05 2.15085e+00
0.00000e+00 0.00000e+00 1.30331e-05 -3.48436e-06 0.00000e+00 3.42473e-06 1.90503e-25 3.05723e-05 -3.73510e-01
0.00000e+00 0.00000e+00 1.20159e-05 -2.86891e-06 0.00000e+00 2.84888e-06 0.00000e+00 3.36900e-05 1.15954e+00
1.13426e-04 2.13151e-05 1.11204e-05 7.84560e-05 2.62025e-05 2.59288e-06 3.16443e-07 3.16597e-05 1.33500e+00
2.50000e-04 4.92375e-05 1.05843e-05 1.92183e-04 5.77523e-05 2.34361e-06 8.36297e-06 2.96422e-05 6.06679e-01
3.19444e-04 6.14229e-05 1.05203e-05 2.24615e-04 7.37942e-05 2.91428e-06 1.03071e-05 2.21590e-05 -3.31182e+00
1.15741e-05 1.80833e-06 1.31577e-05 2.92625e-05 2.67369e-06 1.73422e-06 2.67369e-06 3.08393e-05 2.62893e+00
2.31481e-06 3.73258e-07 1.68052e-05 1.69941e-06 5.34734e-07 3.58984e-06 5.34734e-07 2.92492e-05 -2.25250e+00
0.00000e+00 0.00000e+00 1.87631e-05 -2.93877e-06 0.00000e+00 3.27695e-06 2.14335e-15 2.53700e-05 -1.74145e+00
2.91667e-04 5.84805e-05 1.92137e-05 1.44613e-04 6.73516e-05 2.96315e-06 1.49279e-05 2.15099e-05 -2.90460e-01
1.99074e-04 3.87875e-05 1.94054e-05 1.93808e-04 4.59616e-05 2.86417e-06 1.55849e-05 2.04702e-05 2.55036e-01
4.46759e-04 9.20833e-05 2.41155e-05 3.31109e-04 1.03127e-04 2.40381e-06 1.87697e-05 1.45969e-05 -2.80215e+00
9.49074e-05 1.79760e-05 4.26161e-05 7.46608e-05 2.19038e-05 2.44708e-06 1.67627e-05 1.87474e-05 4.14658e-01
5.87888e-05 1.06557e-05 5.66390e-05 3.46551e-05 1.35653e-05 2.79725e-06 1.28923e-05 1.89731e-05 -7.05839e-01
9.09757e-05 1.65920e-05 6.08480e-05 5.16241e-05 2.09884e-05 2.10370e-06 2.10554e-05 1.72519e-05 -2.32777e-01
9.09757e-05 1.65763e-05 6.03511e-05 5.12859e-05 2.09845e-05 2.01596e-06 2.10631e-05 1.88883e-05 1.06207e+00
9.09757e-05 1.65175e-05 5.82896e-05 5.14137e-05 2.09805e-05 1.93528e-06 2.07251e-05 1.67074e-05 5.75402e-01
9.09757e-05 1.64493e-05 5.58177e-05 5.14166e-05 2.09766e-05 2.09384e-06 2.10025e-05 1.66463e-05 -5.22386e-01
9.09757e-05 1.63715e-05 5.33737e-05 5.13219e-05 2.09726e-05 2.03702e-06 2.09291e-05 1.89694e-05 -5.97378e-02
9.09757e-05 1.62996e-05 5.10576e-05 5.17749e-05 2.09686e-05 1.87911e-06 2.05858e-05 2.10780e-05 2.28074e-01
9.09757e-05 1.62313e-05 4.89218e-05 5.16855e-05 2.09646e-05 1.81538e-06 2.13345e-05 1.96733e-05 9.05197e-01
9.09757e-05 1.61681e-05 4.69824e-05 5.15221e-05 2.09606e-05 2.22509e-06 2.11801e-05 1.94302e-05 -9.92940e-01
8.57729e-05 1.51918e-05 4.53294e-05 4.84416e-05 1.97583e-05 2.36064e-06 2.01292e-05 1.54728e-05 -2.13691e+00
3.67718e-05 6.48856e-06 4.37724e-05 1.92698e-05 8.46893e-06 2.47019e-06 8.46494e-06 2.32893e-05 2.23089e+00
3.67718e-05 6.45931e-06 4.17894e-05 1.92302e-05 8.46725e-06 2.50918e-06 8.46355e-06 2.07554e-05 1.26223e-01
9.15124e-05 1.71017e-05 3.91419e-05 5.55105e-05 2.10679e-05 2.80694e-06 1.59781e-05 2.16430e-05 -1.06973e-01
0.00000e+00 0.00000e+00 3.64075e-05 -3.10211e-06 0.00000e+00 3.06301e-06 3.97032e-24 2.55592e-05 1.81219e-01
1.73611e-04 3.48555e-05 3.40754e-05 1.07125e-04 3.99526e-05 2.84875e-06 1.74773e-05 1.74652e-05 -8.53278e-01
0.00000e+00 0.00000e+00 3.20888e-05 6.74280e-06 0.00000e+00 2.80854e-06 0.00000e+00 2.49725e-05 8.21921e-01
9.25926e-05 1.85216e-05 3.11757e-05 6.33860e-05 2.12995e-05 2.79248e-06 9.07426e-06 2.33585e-05 2.18001e-01
4.62963e-06 7.88737e-07 3.02944e-05 -5.26436e-07 1.06476e-06 3.41193e-06 1.06476e-06 2.68080e-05 -2.19618e+00
2.31481e-06 3.93361e-07 2.92354e-05 -1.90125e-06 5.32273e-07 3.24667e-06 5.32273e-07 2.37039e-05 -3.27869e+00
2.31481e-06 3.91361e-07 2.74101e-05 -1.55525e-06 5.32165e-07 2.83823e-06 5.32165e-07 2.61704e-05 5.99964e-01
0.00000e+00 0.00000e+00 2.51385e-05 -3.09825e-06 0.00000e+00 3.03608e-06 0.00000e+00 2.61665e-05 7.51484e-01
3.24074e-05 5.34078e-06 2.27825e-05 1.66491e-05 7.44727e-06 2.90398e-06 7.44060e-06 2.26718e-05 8.01745e-01
0.00000e+00 0.00000e+00 2.03627e-05 -3.28599e-06 0.00000e+00 3.20849e-06 -5.37786e-26 3.09659e-05 5.50181e-01
2.08333e-04 4.14231e-05 1.83108e-05 1.08008e-04 4.78557e-05 3.43046e-06 1.07606e-05 2.27496e-05 -2.10454e+00
2.93981e-04 5.86425e-05 1.67524e-05 2.24679e-04 6.75159e-05 2.56788e-06 1.27249e-05 2.16386e-05 2.39492e+00
0.00000e+00 0.00000e+00 1.76145e-05 2.98166e-05 0.00000e+00 3.42674e-06 -0.00000e+00 2.77960e-05 -5.17392e-01
0.00000e+00 0.00000e+00 2.02391e-05 2.29995e-06 0.00000e+00 3.55194e-06 6.35251e-23 3.12328e-05 -2.19900e-01
2.62346e-06 4.30880e-07 2.16206e-05 -8.12376e-07 6.02142e-07 3.10098e-06 6.02142e-07 2.81042e-05 1.01250e+00
3.67718e-05 6.05269e-06 2.15724e-05 1.94544e-05 8.43826e-06 2.86393e-06 8.43388e-06 2.26379e-05 -3.72136e-01
3.67718e-05 6.02629e-06 2.06328e-05 1.96274e-05 8.43656e-06 2.61305e-06 8.43338e-06 2.62641e-05 2.08642e+00
3.67718e-05 5.99169e-06 1.94681e-05 1.95294e-05 8.43486e-06 2.77954e-06 8.43128e-06 2.39880e-05 5.09943e-01
3.67718e-05 5.95399e-06 1.82785e-05 1.98242e-05 8.43316e-06 2.54110e-06 8.43197e-06 2.34582e-05 -1.22026e+00
3.67718e-05 5.91660e-06 1.71443e-05 1.96862e-05 8.43145e-06 2.68924e-06 8.42712e-06 2.40262e-05 1.88348e+00
3.67718e-05 5.88159e-06 1.61519e-05 1.96309e-05 8.42974e-06 2.71022e-06 8.42576e-06 2.23141e-05 -3.57303e-01
3.67718e-05 5.84714e-06 1.52273e-05 2.01341e-05 8.42803e-06 2.28630e-06 8.42660e-06 2.29315e-05 1.55384e+00
3.67718e-05 5.81492e-06 1.43837e-05 1.95184e-05 8.42631e-06 2.92678e-06 8.42125e-06 2.29720e-05 6.88957e-01
3.67718e-05 5.78168e-06 1.35761e-05 1.94278e-05 8.42458e-06 3.11657e-06 8.42068e-06 2.49317e-05 5.67766e-01
3.67718e-05 5.74868e-06 1.28068e-05 1.96528e-05 8.42285e-06 2.90801e-06 8.41983e-06 2.72547e-05 1.43219e+00
3.67718e-05 5.71896e-06 1.21681e-05 2.01293e-05 8.42112e-06 2.48649e-06 8.41799e-06 2.04959e-05 5.20193e-01
3.81890e-05 5.90728e-06 1.15303e-05 2.08682e-05 8.74387e-06 2.61766e-06 8.73920e-06 2.24387e-05 2.56295e+00
5.78800e-05 8.90081e-06 1.10033e-05 3.26135e-05 1.32497e-05 3.04897e-06 1.32496e-05 2.10714e-05 -4.38341e+00
5.78800e-05 8.88054e-06 1.06662e-05 3.27472e-05 1.32470e-05 2.96347e-06 1.32470e-05 1.52921e-05 -7.22778e+00
5.78800e-05 8.87196e-06 1.05510e-05 3.34713e-05 1.32443e-05 2.22011e-06 1.32443e-05 1.90391e-05 -1.13165e+00
5.78800e-05 8.86580e-06 1.04722e-05 3.38124e-05 1.32417e-05 1.79511e-06 1.32416e-05 1.72213e-05 9.98874e-01
5.78800e-05 8.86135e-06 1.04134e-05 3.37309e-05 1.32390e-05 1.82842e-06 1.32390e-05 1.70276e-05 -8.24997e-02
5.78800e-05 8.85826e-06 1.03703e-05 3.30505e-05 1.32363e-05 2.71235e-06 1.32362e-05 1.70912e-05 -4.85121e+00
5.78800e-05 8.85641e-06 1.03420e-05 3.38702e-05 1.32336e-05 1.87894e-06 1.32336e-05 1.58366e-05 -2.43773e+00
5.78800e-05 8.85578e-06 1.03280e-05 3.35662e-05 1.32309e-05 2.19292e-06 1.32309e-05 1.52493e-05 -2.84765e+00
5.78800e-05 8.85637e-06 1.03279e-05 3.38521e-05 1.32282e-05 1.80816e-06 1.32282e-05 1.45186e-05 -1.63674e+00
5.78800e-05 8.85811e-06 1.03414e-05 3.38674e-05 1.32255e-05 1.89828e-06 1.32255e-05 1.58855e-05 -1.32473e+00
5.78800e-05 8.86108e-06 1.03691e-05 3.38170e-05 1.32228e-05 1.75980e-06 1.32227e-05 1.63663e-05 -3.07926e-01
5.78800e-05 8.86555e-06 1.04144e-05 3.37760e-05 1.32200e-05 1.97826e-06 1.32201e-05 1.42298e-05 -1.94147e+00
5.78800e-05 8.87266e-06 1.04901e-05 3.40910e-05 1.32173e-05 1.56959e-06 1.32173e-05 1.35569e-05 -4.86869e-01
5.78800e-05 8.91357e-06 1.09213e-05 3.40748e-05 1.32146e-05 1.61597e-06 1.32146e-05 1.37662e-05 -5.43620e-02
5.78800e-05 8.95355e-06 1.15478e-05 3.39262e-05 1.32118e-05 1.45306e-06 1.32118e-05 1.63644e-05 2.17566e+00
5.78800e-05 8.98106e-06 1.18930e-05 3.36413e-05 1.32091e-05 2.00197e-06 1.32091e-05 1.46868e-05 -9.12074e-01
5.78800e-05 9.00797e-06 1.22350e-05 3.37782e-05 1.32040e-05 1.67990e-06 1.32040e-05 1.33646e-05 -2.22117e-01
5.78800e-05 9.03240e-06 1.25576e-05 3.34085e-05 1.31990e-05 2.05137e-06 1.31990e-05 1.37960e-05 -1.76070e+00
5.78800e-05 9.05602e-06 1.28715e-05 3.36199e-05 1.31939e-05 1.79282e-06 1.31939e-05 1.45620e-05 -7.21731e-01
5.78800e-05 9.08216e-06 1.32166e-05 3.31664e-05 1.31888e-05 2.42304e-06 1.31888e-05 1.16064e-05 -5.21854e+00
5.78800e-05 9.10346e-06 1.35255e-05 3.36681e-05 1.31837e-05 1.63978e-06 1.31837e-05 1.36119e-05 8.21166e-02
5.78800e-05 9.12404e-06 1.38160e-05 3.35384e-05 1.31785e-05 1.91809e-06 1.31785e-05 1.55010e-05 -8.12280e-01
5.78800e-05 9.14234e-06 1.40908e-05 3.36783e-05 1.31734e-05 1.75482e-06 1.31734e-05 1.60858e-05 6.70758e-01
5.78800e-05 9.15758e-06 1.43195e-05 3.34392e-05 1.31682e-05 2.03950e-06 1.31681e-05 1.78875e-05 -1.09925e+00
5.78800e-05 9.17697e-06 1.45861e-05 3.33341e-05 1.31629e-05 2.14434e-06 1.31630e-05 1.25227e-05 -3.30795e+00
5.78800e-05 9.18955e-06 1.47838e-05 3.33825e-05 1.31577e-05 2.03471e-06 1.31577e-05 1.48078e-05 -1.15403e+00
5.78800e-05 9.20217e-06 1.49688e-05 3.31769e-05 1.31524e-05 2.31334e-06 1.31524e-05 1.59020e-05 -1.89729e+00
5.78800e-05 9.21640e-06 1.51639e-05 3.34116e-05 1.31471e-05 2.05800e-06 1.31471e-05 1.47266e-05 -2.15985e+00
5.78800e-05 9.22887e-06 1.53602e-05 3.36666e-05 1.31418e-05 1.80032e-06 1.31419e-05 1.31081e-05 -1.48850e+00
5.78800e-05 9.24259e-06 1.55644e-05 3.34086e-05 1.31365e-05 2.06704e-06 1.31365e-05 1.21798e-05 -2.30758e+00
5.61541e-05 8.97748e-06 1.57296e-05 3.24111e-05 1.27396e-05 1.78665e-06 1.27396e-05 1.59347e-05 1.35724e+00
