atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
6.71296e-05 1.35082e-05 4.17731e-05 4.28148e-05 1.50859e-05 2.81992e-06 8.01257e-06 2.08156e-05 -1.57199e+00
2.31481e-06 4.05837e-07 3.89793e-05 -2.09404e-06 5.20145e-07 3.46754e-06 5.20145e-07 2.26519e-05 -8.61316e-01
1.85185e-05 3.21390e-06 3.59827e-05 7.85625e-06 4.16066e-06 3.28616e-06 1.47326e-06 2.06908e-05 -1.36190e+00
2.08333e-05 3.59233e-06 3.27632e-05 9.97058e-06 4.68025e-06 2.58804e-06 7.36765e-06 1.86668e-05 -1.41609e+00
2.77778e-05 4.73243e-06 2.96519e-05 1.35192e-05 6.24075e-06 3.27747e-06 6.24075e-06 1.88108e-05 2.25507e-01
3.10185e-04 6.06049e-05 2.70248e-05 2.11929e-04 6.97056e-05 2.75725e-06 3.27019e-05 1.32750e-05 -3.44544e-01
3.35648e-04 7.11517e-05 2.69839e-05 2.44461e-04 7.54462e-05 2.52521e-06 9.26359e-06 1.78187e-05 3.82880e-01
1.18056e-04 2.24640e-05 3.60894e-05 8.29278e-05 2.65444e-05 2.34335e-06 1.38633e-05 1.89200e-05 2.01498e+00
1.36343e-03 3.11547e-04 7.16620e-05 9.04290e-04 3.06617e-04 2.26085e-06 1.66099e-05 1.69499e-05 4.30117e-01
2.08333e-05 4.24287e-06 1.60110e-04 1.10446e-04 4.68629e-06 3.26083e-06 4.68629e-06 2.10466e-05 -1.21626e-02
3.17130e-04 7.64992e-05 1.84873e-04 2.35772e-04 7.13530e-05 2.05115e-06 2.74615e-05 1.13631e-05 9.17703e-01
2.80093e-04 6.92843e-05 1.80770e-04 1.93759e-04 6.30350e-05 2.06229e-06 1.70466e-05 1.42513e-05 1.14593e+00
4.62963e-06 9.44771e-07 1.76888e-04 5.72837e-06 1.04215e-06 2.47733e-06 1.04215e-06 2.23188e-05 1.05642e+00
2.12963e-04 5.18597e-05 1.55029e-04 1.01681e-04 4.79505e-05 2.84234e-06 1.29669e-05 1.59021e-05 -1.79721e-01
5.39352e-04 1.37028e-04 1.38916e-04 3.17048e-04 1.21469e-04 3.35565e-06 6.41468e-06 2.10706e-05 -1.34400e+00
6.94444e-06 1.39171e-06 1.45979e-04 9.26348e-05 1.56435e-06 2.77866e-06 1.56435e-06 2.10814e-05 9.43501e-01
9.25926e-06 1.85334e-06 1.45929e-04 2.52822e-05 2.08630e-06 3.48143e-06 2.08630e-06 2.18352e-05 -4.26751e-01
1.15741e-05 2.29152e-06 1.32693e-04 7.79354e-06 2.60849e-06 3.23664e-06 2.60849e-06 2.06409e-05 -5.22138e-01
0.00000e+00 0.00000e+00 1.14703e-04 -1.73916e-06 0.00000e+00 2.27329e-06 0.00000e+00 2.60153e-05 2.80990e+00
