01/01/2002-00 0.4880982 425.3734 0.00000 299.4195 0.01942192 100724.8 0.00000000000000000000
01/01/2002-03 0.5048843 425.6143 0.00000 298.2008 0.01828977 100643.4 0.00016666665518035498
01/01/2002-06 0.6043107 426.7402 0.00000 298.0417 0.01887051 100685.5 0.00000000000000000000
01/01/2002-09 0.7863775 426.5436 54.56391 298.9422 0.02012969 100851.2 0.00001851853333333333
01/01/2002-12 0.8746597 432.7259 362.16350 301.3684 0.02290285 100770.3 0.00000000000000000000
01/01/2002-15 0.8691571 431.9558 587.38170 305.3205 0.02837170 100442.8 0.00000000000000000000
01/01/2002-18 0.8257039 441.6266 355.75320 305.8575 0.02862153 100383.0 0.00000000000000000000
01/01/2002-21 0.7443000 442.2213 75.97115 302.9796 0.02394857 100590.8 0.00000000000000000000
01/02/2002-00 0.6756334 429.1989 0.00000 300.7336 0.02104903 100640.1 0.00000000000000000000
01/02/2002-03 0.6197040 429.5030 0.00000 299.1694 0.01958712 100531.3 0.00000000000000000000
01/02/2002-06 0.5771277 425.2183 0.00000 298.7832 0.01982160 100593.4 0.00000000000000000000
01/02/2002-09 0.5479045 425.0298 57.30693 299.5753 0.02117749 100826.4 0.00000000000000000000
01/02/2002-12 0.5553349 439.6560 305.69710 301.3977 0.02376861 100837.1 0.00003703700000000000
01/02/2002-15 0.5994190 439.0763 474.67590 304.2504 0.02796628 100625.3 0.00000000000000000000
01/02/2002-18 0.6444761 441.7446 294.61250 304.4261 0.02770329 100593.3 0.00000000000000000000
01/02/2002-21 0.6905060 442.2838 68.32678 301.9247 0.02338341 100740.9 0.00000000000000000000
01/03/2002-00 0.6400581 424.4056 0.00000 299.8702 0.02020347 100728.0 0.00000000000000000000
01/03/2002-03 0.4931322 424.7659 0.00000 298.0463 0.01832662 100554.6 0.00000000000000000000
01/03/2002-06 0.3853265 419.0560 0.00000 298.0509 0.01915284 100563.1 0.00000000000000000000
01/03/2002-09 0.3166410 418.6627 35.32364 299.8839 0.02186848 100753.5 0.00000000000000000000
01/03/2002-12 0.3213654 434.0949 328.99370 302.2267 0.02528722 100748.5 0.00000000000000000000
01/03/2002-15 0.3994996 433.5122 561.68500 305.0793 0.02991335 100548.1 0.00000000000000000000
01/03/2002-18 0.5106257 437.0776 336.02170 304.8797 0.02939126 100537.1 0.00000000000000000000
01/03/2002-21 0.6547436 437.7673 68.00665 301.6279 0.02378762 100715.6 0.00000000000000000000
01/04/2002-00 0.6606737 424.7954 0.00000 299.3894 0.02009530 100774.5 0.00000000000000000000
01/04/2002-03 0.5284162 425.1370 0.00000 297.7613 0.01814164 100713.5 0.00000000000000000000
01/04/2002-06 0.4487027 420.1397 0.00000 297.7613 0.01861150 100725.2 0.00000000000000000000
01/04/2002-09 0.4215334 419.7947 26.67236 299.3894 0.02083839 100809.4 0.00000000000000000000
01/04/2002-12 0.4986468 430.4751 323.50090 301.9120 0.02438096 100736.6 0.00024074066666666667
01/04/2002-15 0.6800429 429.7916 568.10910 305.3290 0.02963971 100506.5 0.00000000000000000000
01/04/2002-18 0.7597353 434.3942 351.68610 305.2785 0.02903335 100471.4 0.00031481466666666665
01/04/2002-21 0.7377240 435.1273 80.40555 301.7603 0.02317841 100631.2 0.00074074066666666657
01/05/2002-00 0.5942405 422.7454 0.00000 299.1878 0.01948936 100703.2 0.00000000000000000000
01/05/2002-03 0.3292845 423.1558 0.00000 297.1146 0.01734027 100687.5 0.00000000000000000000
01/05/2002-06 0.2818286 415.2231 0.00000 297.1997 0.01805005 100721.3 0.00000000000000000000
01/05/2002-09 0.4518726 414.7651 33.83602 299.4431 0.02106389 100804.7 0.00000000000000000000
01/05/2002-12 0.6654425 432.6837 332.94120 302.0687 0.02476937 100742.8 0.00000000000000000000
01/05/2002-15 0.9225382 432.0638 572.89650 305.0763 0.02967203 100535.7 0.00000000000000000000
01/05/2002-18 1.0211940 436.5693 346.86380 305.1008 0.02976609 100506.4 0.00048148133333333334
01/05/2002-21 0.9614101 437.1871 73.07256 302.1422 0.02474426 100655.0 0.00000000000000000000
