Date-Time wind dlwrf dswrf tas shum pres ppt
01/09/1998-09 0.3143029 419.9051 26.76195 299.6833 0.02088240 100872.6 0.0000000
01/09/1998-12 0.5274147 431.2999 363.31470 301.7571 0.02437229 100800.2 2.1757740
01/09/1998-15 0.8605015 430.7191 646.60770 304.5661 0.02907884 100608.2 0.6648198
01/09/1998-18 0.9832379 438.1179 390.18370 304.1447 0.02815298 100559.0 0.0000000
01/09/1998-21 0.8956239 438.8826 80.12872 300.4929 0.02244542 100652.7 0.0000000
01/10/1998-00 0.8472582 420.5841 0.00000 298.6977 0.01985328 100726.3 0.0000000
01/10/1998-03 0.8381404 420.9307 0.00000 297.0434 0.01775851 100779.4 0.0000000
01/10/1998-06 0.8253362 424.4875 0.00000 296.6603 0.01721362 100850.1 0.0000000
01/10/1998-09 0.8088456 424.3036 16.14485 297.5486 0.01819495 100938.5 0.0000000
01/10/1998-12 0.9515245 424.7278 352.37120 300.4838 0.02196608 100878.7 0.0000000
01/10/1998-15 1.2533730 423.7618 646.38220 305.4659 0.02904645 100670.7 0.0000000
01/10/1998-18 1.2631860 431.5902 421.83900 305.9678 0.02875233 100587.2 0.0000000
01/10/1998-21 0.9809636 432.3860 111.68310 301.9897 0.02271298 100628.2 0.0000000
01/11/1998-00 0.8159153 421.5938 0.00000 299.1328 0.01976792 100654.8 0.0000000
01/11/1998-03 0.7680413 421.9809 0.00000 297.1142 0.01777437 100666.6 0.0000000
01/11/1998-06 0.7034059 415.1499 0.00000 296.6591 0.01728950 100756.8 0.0000000
01/11/1998-09 0.6220092 414.9312 26.29068 297.7673 0.01847588 100925.4 0.0000000
01/11/1998-12 0.7490036 427.8203 346.49380 300.5425 0.02184419 100863.6 0.0000000
01/11/1998-15 1.0843890 426.9353 615.95520 304.9848 0.02836651 100571.4 0.0000000
01/11/1998-18 1.1932560 433.6272 393.06700 305.3222 0.02885913 100467.3 0.0000000
01/11/1998-21 1.0756050 434.3890 97.31494 301.5549 0.02316329 100551.2 0.0000000
01/12/1998-00 1.0413190 417.9690 0.00000 299.0139 0.01997431 100626.5 0.0000000
01/12/1998-03 1.0904000 418.3646 0.00000 297.0169 0.01774059 100693.1 0.0000000
01/12/1998-06 1.0823590 416.4614 0.00000 296.2842 0.01697898 100774.3 0.0000000
01/12/1998-09 1.0171960 416.3599 19.66926 296.8159 0.01742520 100870.2 0.0000000
01/12/1998-12 1.0775770 428.8883 287.32280 299.7977 0.02060071 100814.3 0.0000000
